scenario,accuracy,precision_macro,recall_macro,f1_macro,f1_class_0,f1_class_1,auc_roc,brier,ece
baseline,0.8583333333333334,0.852937237027148,0.8312499999999998,0.837388111068355,0.8949493768597145,0.7798268452769952,0.9230029585798818,0.11247772088067085,0.11896871584706392
fine_tuned_target,0.8615384615384617,0.8627676670392187,0.8221153846153847,0.8363143965847726,0.9003303038167078,0.7722984893528372,0.9339497041420118,0.10834703056771633,0.1291683460609653
