epoch,loss,prog_auc,prog_loss,proteinuria_auc,proteinuria_loss,val_loss,val_prog_auc,val_prog_loss,val_proteinuria_auc,val_proteinuria_loss
0,0.826738178730011,0.4870353937149048,0.6303982734680176,0.4674791097640991,0.7135933041572571,0.8226475119590759,0.4115665555000305,0.6315091848373413,0.4361906051635742,0.6923804879188538
1,0.8043372631072998,0.4679378271102905,0.6145157217979431,0.5364995002746582,0.6997703909873962,0.7999904751777649,0.4258843660354614,0.6094321012496948,0.45994797348976135,0.6886065602302551
2,0.7835215330123901,0.5140844583511353,0.5877407789230347,0.485903799533844,0.7062312364578247,0.7825118899345398,0.4564851224422455,0.5926714539527893,0.5068464279174805,0.6843699812889099
3,0.7793284058570862,0.4754885137081146,0.5859028697013855,0.5166141986846924,0.6956722736358643,0.7668575644493103,0.4809096157550812,0.5776185989379883,0.5392988920211792,0.6806921362876892
4,0.7599189877510071,0.4929937720298767,0.5641570091247559,0.519154965877533,0.6903773546218872,0.7527918219566345,0.5049598217010498,0.5639106631278992,0.578734815120697,0.677840530872345
5,0.7562286853790283,0.49815088510513306,0.5616037249565125,0.4944695234298706,0.6949925422668457,0.7419454455375671,0.5222721695899963,0.5533650517463684,0.5847597122192383,0.675408661365509
6,0.7440017461776733,0.5057529211044312,0.556818425655365,0.5389946699142456,0.6822535991668701,0.7324420809745789,0.5526857972145081,0.544170081615448,0.5925646424293518,0.6729962229728699
7,0.7425742745399475,0.5119065046310425,0.550759494304657,0.5320948958396912,0.683547854423523,0.7246090173721313,0.5887142419815063,0.5366547703742981,0.6004381775856018,0.6707122325897217
8,0.7376542091369629,0.5286823511123657,0.5494232177734375,0.5187518000602722,0.6825838685035706,0.7174854278564453,0.6163203716278076,0.5298795104026794,0.6032452583312988,0.6684308052062988
9,0.7295882701873779,0.5501530766487122,0.5365079045295715,0.5281619429588318,0.6799668073654175,0.7119559645652771,0.6429908275604248,0.5245761871337891,0.6034506559371948,0.6668997406959534
10,0.7244681715965271,0.5589365363121033,0.5407930016517639,0.5685106515884399,0.6723690032958984,0.7062111496925354,0.668070375919342,0.5190834403038025,0.6008489727973938,0.6653767228126526
11,0.7198441028594971,0.6013437509536743,0.5300140976905823,0.523194432258606,0.6809366345405579,0.7007046341896057,0.6908104419708252,0.5137867331504822,0.60653156042099,0.6638737320899963
12,0.716244101524353,0.5815167427062988,0.5309464931488037,0.5275609493255615,0.6753359436988831,0.6950908303260803,0.7065319418907166,0.5082455277442932,0.6168013215065002,0.663154661655426
13,0.7121099233627319,0.5791950225830078,0.5288829803466797,0.5311211943626404,0.6734477281570435,0.6898223161697388,0.7246865034103394,0.5030744671821594,0.6181021332740784,0.6623769998550415
14,0.7144283652305603,0.5893858671188354,0.530956506729126,0.5109848380088806,0.6760475635528564,0.6846201419830322,0.7434026002883911,0.4979902505874634,0.6167328357696533,0.6618537306785583
15,0.7028172016143799,0.626091480255127,0.5143860578536987,0.5558294057846069,0.6652839779853821,0.6795892715454102,0.7582818269729614,0.4930689036846161,0.608927845954895,0.661274790763855
16,0.6938164234161377,0.6608350276947021,0.5064887404441833,0.5924277901649475,0.6604199409484863,0.6742668747901917,0.7711023688316345,0.48779037594795227,0.6195399165153503,0.6608611941337585
17,0.6930378675460815,0.6738201379776001,0.5091775059700012,0.5412235260009766,0.6675949096679688,0.6685687899589539,0.7812091112136841,0.4821467101573944,0.6257702112197876,0.6602964401245117
18,0.6958486437797546,0.6493086218833923,0.5122968554496765,0.5187366008758545,0.6741766929626465,0.6631338000297546,0.7895376682281494,0.47677862644195557,0.6372723579406738,0.6598899960517883
19,0.6869590878486633,0.671570360660553,0.5017349123954773,0.5522692203521729,0.6664395332336426,0.6571273803710938,0.7977728247642517,0.4709673225879669,0.6532247066497803,0.6588523983955383
20,0.6839735507965088,0.6852232813835144,0.4961182773113251,0.5405465364456177,0.6714106202125549,0.6513495445251465,0.8082537651062012,0.46538057923316956,0.6600711941719055,0.6581501960754395
21,0.6854963898658752,0.6769225597381592,0.49938106536865234,0.5640832185745239,0.6649221181869507,0.6458542943000793,0.8155530691146851,0.4600234925746918,0.672805666923523,0.6577102541923523
22,0.6667287945747375,0.7311335206031799,0.4758799076080322,0.5275457501411438,0.6755576133728027,0.6395805478096008,0.8236009478569031,0.4539403021335602,0.6971107721328735,0.6571576595306396
